timestamp,epoch_time,open,high,low,close,volume
2025-10-03 03:45:00,1759463100.0,1851.2,1858.8,1851.2,1855.0,189384.0
2025-10-03 03:46:00,1759463160.0,1854.8,1855.0,1853.7,1854.4,82988.0
2025-10-03 03:47:00,1759463220.0,1854.0,1854.4,1852.0,1852.6,79965.0
2025-10-03 03:48:00,1759463280.0,1852.1,1852.1,1848.1,1851.1,104157.0
2025-10-03 03:49:00,1759463340.0,1851.0,1854.9,1851.0,1854.9,32646.0
2025-10-03 03:50:00,1759463400.0,1854.8,1855.7,1853.5,1854.2,19287.0
2025-10-03 03:51:00,1759463460.0,1854.2,1856.7,1854.0,1856.7,20609.0
2025-10-03 03:52:00,1759463520.0,1856.7,1856.7,1854.2,1855.6,12390.0
2025-10-03 03:53:00,1759463580.0,1856.6,1862.3,1856.4,1861.6,20656.0
2025-10-03 03:54:00,1759463640.0,1862.0,1863.0,1861.0,1861.0,38014.0
2025-10-03 03:55:00,1759463700.0,1861.4,1862.7,1860.7,1862.1,28253.0
2025-10-03 03:56:00,1759463760.0,1862.1,1862.9,1859.2,1859.6,18057.0
2025-10-03 03:57:00,1759463820.0,1859.6,1862.0,1859.6,1859.8,24226.0
2025-10-03 03:58:00,1759463880.0,1859.8,1863.8,1859.8,1863.8,8801.0
2025-10-03 03:59:00,1759463940.0,1864.0,1864.9,1862.8,1863.3,8055.0
2025-10-03 04:00:00,1759464000.0,1863.4,1864.9,1863.0,1863.0,11397.0
2025-10-03 04:01:00,1759464060.0,1863.1,1863.1,1860.4,1862.6,14066.0
2025-10-03 04:02:00,1759464120.0,1862.6,1864.8,1862.3,1864.0,7963.0
2025-10-03 04:03:00,1759464180.0,1864.0,1864.0,1862.4,1862.4,6751.0
2025-10-03 04:04:00,1759464240.0,1862.3,1862.5,1861.0,1861.1,9233.0
2025-10-03 04:05:00,1759464300.0,1861.1,1862.7,1861.0,1862.2,6486.0
2025-10-03 04:06:00,1759464360.0,1863.9,1864.8,1863.3,1863.3,5574.0
2025-10-03 04:07:00,1759464420.0,1863.6,1863.6,1862.0,1863.1,7100.0
2025-10-03 04:08:00,1759464480.0,1863.2,1864.6,1863.2,1864.3,5806.0
2025-10-03 04:09:00,1759464540.0,1863.7,1864.8,1863.5,1864.0,5916.0
2025-10-03 04:10:00,1759464600.0,1864.7,1866.0,1864.0,1865.6,5576.0
2025-10-03 04:11:00,1759464660.0,1865.9,1865.9,1865.4,1865.5,4561.0
2025-10-03 04:12:00,1759464720.0,1865.5,1865.5,1865.0,1865.3,6248.0
2025-10-03 04:13:00,1759464780.0,1865.3,1867.0,1865.2,1867.0,5548.0
2025-10-03 04:14:00,1759464840.0,1867.0,1867.1,1866.9,1867.0,7367.0
2025-10-03 04:15:00,1759464900.0,1867.0,1867.0,1866.5,1866.5,4424.0
2025-10-03 04:16:00,1759464960.0,1866.5,1866.5,1864.9,1865.5,5051.0
2025-10-03 04:17:00,1759465020.0,1865.2,1866.0,1865.0,1865.9,9898.0
2025-10-03 04:18:00,1759465080.0,1865.9,1865.9,1865.4,1865.5,5397.0
2025-10-03 04:19:00,1759465140.0,1865.7,1865.7,1864.2,1864.9,6324.0
2025-10-03 04:20:00,1759465200.0,1864.9,1865.1,1864.6,1864.8,8125.0
2025-10-03 04:21:00,1759465260.0,1865.0,1866.2,1864.8,1866.0,4928.0
2025-10-03 04:22:00,1759465320.0,1866.0,1866.5,1865.9,1866.5,6802.0
2025-10-03 04:23:00,1759465380.0,1866.3,1867.6,1866.2,1867.4,5385.0
2025-10-03 04:24:00,1759465440.0,1867.4,1869.0,1867.3,1869.0,6611.0
2025-10-03 04:25:00,1759465500.0,1869.0,1869.0,1868.0,1868.8,6937.0
2025-10-03 04:26:00,1759465560.0,1868.8,1872.0,1868.8,1871.3,11751.0
2025-10-03 04:27:00,1759465620.0,1871.4,1872.8,1871.4,1872.2,7472.0
2025-10-03 04:28:00,1759465680.0,1872.4,1872.6,1871.7,1871.9,5785.0
2025-10-03 04:29:00,1759465740.0,1872.4,1873.8,1872.0,1872.7,13879.0
2025-10-03 04:30:00,1759465800.0,1872.6,1872.7,1870.0,1870.6,9626.0
2025-10-03 04:31:00,1759465860.0,1870.5,1872.4,1870.1,1872.4,8899.0
2025-10-03 04:32:00,1759465920.0,1872.4,1872.5,1871.8,1872.0,5048.0
2025-10-03 04:33:00,1759465980.0,1872.0,1872.0,1871.2,1871.7,4274.0
2025-10-03 04:34:00,1759466040.0,1871.7,1872.4,1871.1,1872.0,9320.0
2025-10-03 04:35:00,1759466100.0,1872.4,1872.4,1870.0,1870.9,7735.0
2025-10-03 04:36:00,1759466160.0,1870.9,1871.8,1870.5,1871.0,4068.0
2025-10-03 04:37:00,1759466220.0,1871.6,1871.8,1871.1,1871.3,4759.0
2025-10-03 04:38:00,1759466280.0,1871.3,1872.1,1870.4,1872.1,7096.0
2025-10-03 04:39:00,1759466340.0,1872.1,1872.3,1870.9,1871.2,4308.0
2025-10-03 04:40:00,1759466400.0,1871.2,1871.2,1870.4,1870.8,4880.0
2025-10-03 04:41:00,1759466460.0,1870.8,1872.3,1870.5,1872.3,10045.0
2025-10-03 04:42:00,1759466520.0,1872.3,1872.8,1872.0,1872.6,3206.0
2025-10-03 04:43:00,1759466580.0,1872.7,1873.5,1871.4,1872.2,9699.0
2025-10-03 04:44:00,1759466640.0,1872.3,1872.9,1871.3,1872.0,7379.0
2025-10-03 04:45:00,1759466700.0,1872.0,1872.0,1871.3,1871.9,4171.0
2025-10-03 04:46:00,1759466760.0,1871.6,1871.7,1870.2,1870.3,6568.0
2025-10-03 04:47:00,1759466820.0,1870.2,1870.9,1869.5,1870.9,7471.0
2025-10-03 04:48:00,1759466880.0,1870.9,1871.0,1869.5,1870.5,4199.0
2025-10-03 04:49:00,1759466940.0,1870.3,1870.5,1869.9,1870.3,3312.0
2025-10-03 04:50:00,1759467000.0,1870.3,1870.3,1868.9,1869.2,4521.0
2025-10-03 04:51:00,1759467060.0,1869.1,1870.0,1869.1,1869.7,7149.0
2025-10-03 04:52:00,1759467120.0,1869.9,1869.9,1869.6,1869.6,2731.0
2025-10-03 04:53:00,1759467180.0,1869.7,1869.8,1869.3,1869.5,3505.0
2025-10-03 04:54:00,1759467240.0,1869.5,1869.5,1869.3,1869.4,2468.0
2025-10-03 04:55:00,1759467300.0,1869.4,1869.4,1869.3,1869.4,4056.0
2025-10-03 04:56:00,1759467360.0,1869.4,1870.9,1869.3,1870.9,7966.0
2025-10-03 04:57:00,1759467420.0,1870.9,1873.6,1870.9,1873.3,9415.0
2025-10-03 04:58:00,1759467480.0,1874.3,1875.3,1874.3,1875.2,17602.0
2025-10-03 04:59:00,1759467540.0,1875.2,1876.0,1875.1,1875.4,6585.0
2025-10-03 05:00:00,1759467600.0,1875.4,1877.2,1875.0,1876.7,14523.0
2025-10-03 05:01:00,1759467660.0,1876.9,1876.9,1875.1,1876.0,4936.0
2025-10-03 05:02:00,1759467720.0,1876.2,1878.0,1875.9,1876.4,7725.0
2025-10-03 05:03:00,1759467780.0,1877.1,1877.2,1875.6,1876.9,4421.0
2025-10-03 05:04:00,1759467840.0,1876.6,1877.0,1875.2,1876.0,5881.0
2025-10-03 05:05:00,1759467900.0,1876.0,1876.0,1875.1,1876.0,3891.0
2025-10-03 05:06:00,1759467960.0,1876.5,1877.0,1875.9,1875.9,5138.0
2025-10-03 05:07:00,1759468020.0,1876.7,1876.9,1875.9,1876.9,3328.0
2025-10-03 05:08:00,1759468080.0,1876.9,1876.9,1875.5,1875.5,6817.0
2025-10-03 05:09:00,1759468140.0,1875.9,1875.9,1875.7,1875.9,3134.0
2025-10-03 05:10:00,1759468200.0,1875.9,1875.9,1875.1,1875.1,4985.0
2025-10-03 05:11:00,1759468260.0,1875.8,1875.9,1875.6,1875.7,2675.0
2025-10-03 05:12:00,1759468320.0,1875.7,1875.9,1875.7,1875.8,4634.0
2025-10-03 05:13:00,1759468380.0,1875.7,1875.8,1875.0,1875.5,3091.0
2025-10-03 05:14:00,1759468440.0,1875.4,1875.5,1874.4,1875.1,19066.0
2025-10-03 05:15:00,1759468500.0,1875.1,1875.1,1874.9,1875.1,13313.0
2025-10-03 05:16:00,1759468560.0,1875.1,1875.1,1875.0,1875.0,4737.0
2025-10-03 05:17:00,1759468620.0,1875.1,1875.1,1872.7,1873.9,36383.0
2025-10-03 05:18:00,1759468680.0,1873.9,1875.1,1873.8,1875.0,25174.0
2025-10-03 05:19:00,1759468740.0,1875.1,1875.7,1875.0,1875.1,6897.0
2025-10-03 05:20:00,1759468800.0,1875.1,1875.1,1875.0,1875.1,4860.0
2025-10-03 05:21:00,1759468860.0,1875.1,1875.8,1874.9,1875.3,23079.0
2025-10-03 05:22:00,1759468920.0,1875.3,1875.3,1875.0,1875.0,6004.0
2025-10-03 05:23:00,1759468980.0,1875.3,1876.0,1875.0,1875.8,508882.0
2025-10-03 05:24:00,1759469040.0,1875.8,1877.2,1875.7,1876.1,7011.0
2025-10-03 05:25:00,1759469100.0,1876.2,1876.5,1876.0,1876.5,7273.0
2025-10-03 05:26:00,1759469160.0,1876.5,1876.7,1876.4,1876.4,7021.0
2025-10-03 05:27:00,1759469220.0,1876.5,1876.5,1876.2,1876.2,7472.0
2025-10-03 05:28:00,1759469280.0,1876.3,1876.5,1876.0,1876.5,3724.0
2025-10-03 05:29:00,1759469340.0,1876.4,1877.8,1876.4,1877.0,12514.0
2025-10-03 05:30:00,1759469400.0,1877.0,1877.0,1876.4,1876.9,4023.0
2025-10-03 05:31:00,1759469460.0,1877.0,1878.9,1877.0,1878.4,10287.0
2025-10-03 05:32:00,1759469520.0,1878.2,1882.0,1878.2,1880.3,24554.0
2025-10-03 05:33:00,1759469580.0,1880.0,1885.0,1880.0,1884.2,24326.0
2025-10-03 05:34:00,1759469640.0,1884.1,1884.1,1882.2,1882.6,15436.0
2025-10-03 05:35:00,1759469700.0,1882.6,1883.6,1881.2,1883.6,18145.0
2025-10-03 05:36:00,1759469760.0,1883.6,1883.6,1881.2,1881.6,11047.0
2025-10-03 05:37:00,1759469820.0,1881.7,1882.4,1881.1,1882.2,14487.0
2025-10-03 05:38:00,1759469880.0,1882.3,1882.4,1881.1,1881.1,6811.0
2025-10-03 05:39:00,1759469940.0,1881.1,1882.0,1881.1,1881.4,6110.0
2025-10-03 05:40:00,1759470000.0,1881.4,1881.4,1881.1,1881.3,5388.0
2025-10-03 05:41:00,1759470060.0,1881.4,1881.4,1881.3,1881.3,4850.0
2025-10-03 05:42:00,1759470120.0,1881.4,1881.4,1881.2,1881.2,6454.0
2025-10-03 05:43:00,1759470180.0,1881.3,1881.3,1880.1,1880.7,7835.0
2025-10-03 05:44:00,1759470240.0,1880.8,1880.8,1880.0,1880.0,8383.0
2025-10-03 05:45:00,1759470300.0,1880.1,1880.1,1879.2,1879.8,6353.0
2025-10-03 05:46:00,1759470360.0,1879.8,1880.0,1879.8,1879.9,6992.0
2025-10-03 05:47:00,1759470420.0,1880.0,1880.0,1879.9,1879.9,11363.0
2025-10-03 05:48:00,1759470480.0,1880.0,1880.0,1879.9,1879.9,10070.0
2025-10-03 05:49:00,1759470540.0,1879.9,1879.9,1879.8,1879.9,5931.0
2025-10-03 05:50:00,1759470600.0,1879.8,1879.9,1879.5,1879.7,5749.0
2025-10-03 05:51:00,1759470660.0,1879.8,1879.9,1877.8,1877.8,9489.0
2025-10-03 05:52:00,1759470720.0,1877.6,1877.7,1876.5,1876.5,9023.0
2025-10-03 05:53:00,1759470780.0,1877.0,1877.3,1876.0,1876.4,5475.0
2025-10-03 05:54:00,1759470840.0,1876.5,1876.6,1876.3,1876.3,4563.0
2025-10-03 05:55:00,1759470900.0,1876.3,1876.7,1876.3,1876.7,7031.0
2025-10-03 05:56:00,1759470960.0,1876.7,1876.7,1875.3,1876.2,10542.0
2025-10-03 05:57:00,1759471020.0,1876.0,1876.2,1875.9,1876.0,5572.0
2025-10-03 05:58:00,1759471080.0,1875.9,1877.8,1875.9,1877.6,9571.0
2025-10-03 05:59:00,1759471140.0,1877.6,1877.8,1877.5,1877.8,4271.0
2025-10-03 06:00:00,1759471200.0,1877.9,1878.0,1877.5,1877.5,8722.0
2025-10-03 06:01:00,1759471260.0,1877.4,1879.8,1877.3,1879.8,11067.0
2025-10-03 06:02:00,1759471320.0,1879.8,1879.9,1878.9,1878.9,5058.0
2025-10-03 06:03:00,1759471380.0,1879.0,1879.0,1878.0,1878.7,5906.0
2025-10-03 06:04:00,1759471440.0,1878.7,1878.8,1878.6,1878.7,4118.0
2025-10-03 06:05:00,1759471500.0,1878.8,1879.0,1878.7,1879.0,4076.0
2025-10-03 06:06:00,1759471560.0,1879.0,1879.0,1878.9,1879.0,11941.0
2025-10-03 06:07:00,1759471620.0,1879.0,1880.6,1879.0,1880.5,22344.0
2025-10-03 06:08:00,1759471680.0,1880.4,1880.5,1879.2,1879.8,5115.0
2025-10-03 06:09:00,1759471740.0,1879.9,1880.5,1879.8,1880.4,6419.0
2025-10-03 06:10:00,1759471800.0,1880.5,1880.5,1880.3,1880.3,16079.0
2025-10-03 06:11:00,1759471860.0,1880.3,1880.4,1880.1,1880.2,5861.0
2025-10-03 06:12:00,1759471920.0,1880.3,1880.3,1880.2,1880.2,6244.0
2025-10-03 06:13:00,1759471980.0,1880.3,1880.5,1880.2,1880.4,19385.0
2025-10-03 06:14:00,1759472040.0,1880.5,1881.9,1880.4,1881.9,13989.0
2025-10-03 06:15:00,1759472100.0,1881.9,1881.9,1880.1,1880.2,9331.0
2025-10-03 06:16:00,1759472160.0,1880.1,1880.4,1880.0,1880.1,4464.0
2025-10-03 06:17:00,1759472220.0,1880.2,1880.4,1880.1,1880.4,5050.0
2025-10-03 06:18:00,1759472280.0,1880.4,1880.4,1879.5,1879.6,10047.0
2025-10-03 06:19:00,1759472340.0,1879.6,1880.4,1879.6,1880.3,7598.0
