display_name,symbol_name,exchange_id,instrument,underlying_symbol,security_id
INDUSINDBK 25 SEP 720 PUT,IIBKOPT,BSE,OPTSTK,INDUSINDBK,863061
DIVISLAB 30 OCT 5700 CALL,DIVIOPT,BSE,OPTSTK,DIVISLAB,863062
ULTRACEMCO 30 OCT 11400 CALL,ULCLOPT,BSE,OPTSTK,ULTRACEMCO,863063
LICHSGFIN 30 OCT 500 CALL,LICHOPT,BSE,OPTSTK,LICHSGFIN,863064
INDUSINDBK 30 OCT 710 CALL,IIBKOPT,BSE,OPTSTK,INDUSINDBK,863065
INFY 30 OCT 1340 CALL,INFYOPT,BSE,OPTSTK,INFY,863066
SIEMENS 25 SEP 2650 PUT,SIEMOPT,BSE,OPTSTK,SIEMENS,863067
CYIENT 30 OCT 1040 CALL,CYTLOPT,BSE,OPTSTK,CYIENT,863068
BEL 30 OCT 340 CALL,BELLOPT,BSE,OPTSTK,BEL,863069
INDUSTOWER 25 SEP 325 CALL,INFROPT,BSE,OPTSTK,INDUSTOWER,863070
PNBHOUSING 30 OCT 720 CALL,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863072
SBICARD 30 OCT 730 CALL,SCPLOPT,BSE,OPTSTK,SBICARD,863073
IOC 25 SEP 122 PUT,IOCLOPT,BSE,OPTSTK,IOC,863074
DIVISLAB 25 SEP 5800 CALL,DIVIOPT,BSE,OPTSTK,DIVISLAB,863075
HAVELLS 30 OCT 1340 PUT,HAILOPT,BSE,OPTSTK,HAVELLS,863076
BAJAJFINSV 30 OCT 1780 CALL,BAJFOPT,BSE,OPTSTK,BAJAJFINSV,863077
ADANIPORTS 30 OCT 1200 PUT,MPSLOPT,BSE,OPTSTK,ADANIPORTS,863078
GMRAIRPORT 30 OCT 82 PUT,GMRIOPT,BSE,OPTSTK,GMRAIRPORT,863079
SENSEX 28 JUN 83000 CALL,BSXOPT,BSE,OPTIDX,SENSEX,863081
SENSEX 30 OCT 73500 CALL,BSXOPT,BSE,OPTIDX,SENSEX,863082
WIPRO 25 SEP 225 CALL,WIPROPT,BSE,OPTSTK,WIPRO,863083
PETRONET 25 SEP 245 CALL,PLNGOPT,BSE,OPTSTK,PETRONET,863084
IIFL 30 OCT 400 CALL,IIFLOPT,BSE,OPTSTK,IIFL,863085
TATAMOTORS 30 OCT 580 CALL,TAMOOPT,BSE,OPTSTK,TATAMOTORS,863086
CAMS 25 SEP 2900 CALL,CAMSOPT,BSE,OPTSTK,CAMS,863088
IOC 30 OCT 119.5 PUT,IOCLOPT,BSE,OPTSTK,IOC,863089
